id,source_es,source_en,name,description,reviewed
back_default,Clásico Azul — El dorso clásico del casino.,Classic Blue — The classic casino back.,Bleu classique,Le dos classique du casino.,no
back_crimson,Carmesí — Rojo profundo. Audaz y dominante.,Crimson — Deep red. Bold and dominant.,Pourpre,Rouge profond. Audacieux et dominant.,no
back_emerald,Esmeralda — Verde intenso del jugador natural.,Emerald — Deep green of a natural player.,Émeraude,Vert profond d'un joueur naturel.,no
back_copper,Cobre — Cálido y terroso. Clásico de las plazas.,Copper — Warm and earthy. A timeless classic.,Cuivre,Chaleureux et terreux. Un classique intemporel.,no
back_forest,Bosque — Naturaleza salvaje en cada carta.,Forest — Wild nature on every card.,Forêt,La nature sauvage sur chaque carte.,no
back_sunset,Atardecer — Naranja y rosa del crepúsculo.,Sunset — Orange and pink of dusk.,Coucher de soleil,Orange et rose du crépuscule.,no
back_vintage,Vintage — Sepia antiguo. Aspecto de época.,Vintage — Sepia antique. A period look.,Vintage,Sépia antique. Look d'époque.,no
back_sand,Arena — Dunas desérticas bajo el sol.,Sand — Desert dunes under the sun.,Sable,Dunes du désert sous le soleil.,no
back_navy,Armada — Azul marino profundo y disciplinado.,Navy — Deep and disciplined navy blue.,Marine,Bleu marine profond et discipliné.,no
back_charcoal,"Carbón — Gris oscuro, casi negro.","Charcoal — Dark grey, almost black.",Charbon de bois,"Gris foncé, presque noir.",no
back_olive,Oliva — Tono militar clásico.,Olive — Classic military tone.,Olivier,Ton militaire classique.,no
back_berry,Baya — Dulce y vibrante tono púrpura.,Berry — Sweet and vibrant purple.,Baie,Violet doux et vibrant.,no
back_slate,Pizarra — Frío y sólido como la roca.,Slate — Cold and solid as rock.,Ardoise,Froid et solide comme le roc.,no
back_tan,Canela — Cálido y acogedor.,Tan — Warm and welcoming.,Bronzage,Chaleureux et accueillant.,no
back_moss,Musgo — Verde terroso del bosque profundo.,Moss — Earthy green of deep forest.,Mousse,Vert terreux de forêt profonde.,no
back_gold,Oro Real — Dorado brillante. Solo para élites.,Royal Gold — Bright gold. Elites only.,Or Royal,Or brillant. Élites uniquement.,no
back_midnight,Medianoche — Negro absoluto con destellos plateados.,Midnight — Absolute black with silver flashes.,Minuit,Noir absolu avec des reflets argentés.,no
back_ocean,Océano — Profundidades marinas con olas de luz.,Ocean — Marine depths with waves of light.,Océan,Profondeurs marines avec vagues de lumière.,no
back_arctic,Ártico — Blanco glacial. Frío como el hielo.,Arctic — Glacial white. Cold as ice.,Arctique,Blanc glacial. Froid comme la glace.,no
back_amethyst,Amatista — Violeta gemológico. Misterioso y profundo.,Amethyst — Gem violet. Mysterious and deep.,Améthyste,Violette gemme. Mystérieux et profond.,no
back_sakura,Sakura — Rosa suave de flor de cerezo japonesa.,Sakura — Soft pink of Japanese cherry blossoms.,Sakura,Rose tendre des fleurs de cerisier japonais.,no
back_thunder,Trueno — Amarillo eléctrico que sacude la mesa.,Thunder — Electric yellow that shakes the table.,Tonnerre,Un jaune électrique qui fait trembler la table.,no
back_toxic,Tóxico — Verde veneno. Para los más peligrosos.,Toxic — Poison green. For the most dangerous.,Toxique,Vert poison. Pour les plus dangereux.,no
back_digital,Digital — Matrix de píxeles. Estilo hacker total.,Digital — Matrix of pixels. Total hacker style.,Numérique,Matrice de pixels. Style hacker total.,no
back_bronze,Bronce — Metal antiguo. Resistente como el jugador.,Bronze — Ancient metal. Tough as the player.,Bronze,Métal ancien. Dur comme joueur.,no
back_silver_rare,Plata Pura — Elegancia metálica refinada.,Pure Silver — Refined metallic elegance.,Argent pur,Élégance métallique raffinée.,no
back_rose_gold,Oro Rosa — Lujo moderno y sofisticado.,Rose Gold — Modern and sophisticated luxury.,Or Rose,Luxe moderne et sophistiqué.,no
back_platinum,"Platino — Más fuerte que el acero, más brillante.","Platinum — Stronger than steel, brighter too.",Platine,"Plus résistant que l'acier, plus brillant aussi.",no
back_lava,Lava — Roca fundida que quema la mesa.,Lava — Molten rock burning the table.,Lave,Roche en fusion brûlant la table.,no
back_glacier,Glaciar — Hielo milenario de color turquesa.,Glacier — Millennial ice in turquoise.,Glacier,Glace millénaire en turquoise.,no
back_carbon,Fibra de Carbón — Alta tecnología y resistencia.,Carbon Fiber — High tech and resistant.,Fibre de carbone,Haute technologie et résistant.,no
back_nebula,Nebulosa — Nubes de gas estelar coloridas.,Nebula — Colorful stellar gas clouds.,Nébuleuse,Nuages de gaz stellaires colorés.,no
back_sandstone,Arenisca — Textura desértica natural.,Sandstone — Natural desert texture.,Grès,Texture naturelle du désert.,no
back_cobalt,Cobalto — Azul profundo y energético.,Cobalt — Deep and energetic blue.,Cobalt,Bleu profond et énergique.,no
back_citrine,Citrino — Energía solar en tus manos.,Citrine — Solar energy in your hands.,Citrine,L'énergie solaire entre vos mains.,no
back_pearl,Perla — Brillo iridiscente suave.,Pearl — Soft iridescent glow.,Perle,Douce lueur irisée.,no
back_onyx_rare,Ónice — Piedra negra pulida con clase.,Onyx — Polished black stone with class.,Onyx,Pierre noire polie avec classe.,no
